number,name,site,longitude,latitude,type,pg.mg,GG_height,GG_grazed,GG_quadrat_basal
1,R05L,R05,-97.979988,27.238986,leaf,1.51674455,99.75409836,21.14754098,5.703703704
2,R02L,R02,-97.99355,27.246428,leaf,12.8231068,66.25,27.55434783,9.698113208
3,O02L,O02,-97.932938,27.140731,leaf,1.482823902,91.42857143,12.85714286,1.111111111
4,WSE4L,WSE4,-97.954485,27.128751,leaf,2.381465403,58.68421053,31.31578947,3.28
5,O04L,O04,-97.941584,27.134883,leaf,6.539178505,90,6.666666667,0.853658537
6,R03L,R03,-97.980702,27.222852,leaf,2.059467647,108.3928571,3.630952381,5.836956522
7,E01L,E01,-97.957541,27.129611,leaf,3.748804478,58.68421053,31.31578947,3.28
8,O01L,O01,-97.954784,27.156785,leaf,1.864544554,97.44680851,7.617021277,3.411764706
9,R05-2L,R05,-97.979988,27.238986,leaf,3.814346154,99.75409836,21.14754098,5.703703704
10,O01-2L,O01,-97.954784,27.156785,leaf,1.940156796,97.44680851,7.617021277,3.411764706
11,E03L,E03,-97.963721,27.131277,leaf,3.690906186,27.22222222,91.38888889,4.625
12,M04L,M04,-97.983074,27.20209,leaf,1.341029032,79.36363636,17.09090909,7.515625
13,M04r,M04,-97.983074,27.20209,root,5.976361429,79.36363636,17.09090909,7.515625
14,R05r,R05,-97.979988,27.238986,root,5.404025,99.75409836,21.14754098,5.703703704
15,R02r,R02,-97.99355,27.246428,root,61.95640408,66.25,27.55434783,9.698113208
16,O04r,O04,-97.941584,27.134883,root,4.88016911,90,6.666666667,0.853658537
17,R03r,R03,-97.980702,27.222852,root,5.56061215,108.3928571,3.630952381,5.836956522
18,O02r,O02,-97.932938,27.140731,root,5.414462069,91.42857143,12.85714286,1.111111111
19,R04r,R04,-97.964578,27.225587,root,3.574762857,107.3636364,4.518181818,7.107142857
20,O01-2r,O01,-97.954784,27.156785,root,5.842253271,97.44680851,7.617021277,3.411764706
21,E03r,E03,-97.963721,27.131277,root,18.69486359,27.22222222,91.38888889,4.625
22,O01r,R02,-97.954784,27.156785,root,3.197079612,66.25,27.55434783,9.698113208
23,R01r,R01,-97.963187,27.248167,root,7.0761375,80.18796992,26.80451128,10.51851852
24,E01r,E01,-97.957541,27.129611,root,4.193436946,58.68421053,31.31578947,3.28
25,WSE4r,WSE4,-97.954485,27.128751,root,2.830971622,58.68421053,31.31578947,3.28
26,R04L,R04,-97.964578,27.225587,leaf,0.726785377,107.3636364,4.518181818,7.107142857
27,M04t,M04,-97.983074,27.20209,litter,1.749367164,79.36363636,17.09090909,7.515625
28,O04t,O04,-97.941584,27.134883,litter,5.961850237,90,6.666666667,0.853658537
29,R03t,R03,-97.980702,27.222852,litter,3.730003302,108.3928571,3.630952381,5.836956522
30,E03t,E03,-97.963721,27.131277,litter,3.9508425,27.22222222,91.38888889,4.625
31,O01-2t,O01,-97.954784,27.156785,litter,2.547510145,97.44680851,7.617021277,3.411764706
32,R01t,R01,-97.963187,27.248167,litter,2.713299505,80.18796992,26.80451128,10.51851852
33,R02t,R02,-97.99355,27.246428,litter,31.00936121,66.25,27.55434783,9.698113208
34,E01t,E01,-97.957541,27.129611,litter,6.337569458,58.68421053,31.31578947,3.28
35,R05t,R05,-97.979988,27.238986,litter,3.5918565,99.75409836,21.14754098,5.703703704
36,WSE4t,WSE4,-97.954485,27.128751,litter,3.244554545,58.68421053,31.31578947,3.28
37,R04t,R04,-97.964578,27.225587,litter,7.94207971,107.3636364,4.518181818,7.107142857
38,O01t,O01,-97.954784,27.156785,litter,2.323854808,97.44680851,7.617021277,3.411764706
39,R02s,R02,-97.99355,27.246428,soil,1.938557522,66.25,27.55434783,9.698113208
40,O04s,O04,-97.941584,27.134883,soil,0.593868731,90,6.666666667,0.853658537
41,R04s,R04,-97.964578,27.225587,soil,0.485832642,107.3636364,4.518181818,7.107142857
42,O01s,O01,-97.954784,27.156785,soil,0.372792159,97.44680851,7.617021277,3.411764706
43,WSE4s,WSE4,-97.954485,27.128751,soil,0.690845152,58.68421053,31.31578947,3.28
44,R01s,R01,-97.963187,27.248167,soil,0.602077508,80.18796992,26.80451128,10.51851852
45,R03s,R03,-97.980702,27.222852,soil,0.530438812,108.3928571,3.630952381,5.836956522
46,R05s,R05,-97.979988,27.238986,soil,0.69178872,99.75409836,21.14754098,5.703703704
47,E03s,E03,-97.963721,27.131277,soil,0.32352625,27.22222222,91.38888889,4.625