species,chemical,shade,tissue,AVG,AVGadj,logAVG,logAVGadj,SE,logSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
C.fasciculata,crude,open,total,51.38571429,,1.71921287,,6.10242016,0.85140636,66,66,50,44,28,36,11,16,65,13,26,51,57,30,70,146,110,7,6.5,11,66,56,64,52,38,20,116,81,73,21,25,62,149,35,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,root.shoot,0.382612296,,0.140700415,,0.036688018,0.015648079,0.346938776,0.434782609,0.25,0.375,0.272727273,0.058823529,0.222222222,0.333333333,0.25,0.3,0.368421053,0.378378378,0.357142857,0.428571429,0.489361702,0.216666667,0.617647059,0.4,0.083333333,0.222222222,0.885714286,0.647058824,0.361702128,0.625,0.357142857,0.25,1.109090909,0.421052632,0.280701754,0.75,0.136363636,0.215686275,0.330357143,0.206896552,0.409090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,below,12.8375,12.8375,1.141057634,1.141057634,1.689180075,0.429619885,21,23,10,2,5,28,32,20,25,15,2,4,5,5,11,12,14,13,7,27,9,42,18,3,11,1,0.5,3,1,17,23,8,9,14,2,3,3,35,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,above,14.675,27.5125,1.19520755,2.336265183,1.219703358,0.346294939,21,19,13,13,16,28,34,11,37,19,9,12,15,8,17,23,19,14,17,24,19,15,18,6,15,8,3,4,3,18,13,13,10,18,7,5,6,13,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,total,27.5125,,1.455035298,,2.656118209,0.563020229,42,42,23,15,21,56,66,31,62,34,11,16,20,13,28,35,33,27,24,51,28,57,36,9,26,9,3.5,7,4,35,36,21,19,32,9,8,9,48,44,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,root.shoot,0.815836605,,0.259076767,,0.094311619,0.039141011,1,1.210526316,0.769230769,0.153846154,0.3125,1,0.941176471,1.818181818,0.675675676,0.789473684,0.222222222,0.333333333,0.333333333,0.625,0.647058824,0.52173913,0.736842105,0.928571429,0.411764706,1.125,0.473684211,2.8,1,0.5,0.733333333,0.125,0.166666667,0.75,0.333333333,0.944444444,1.769230769,0.615384615,0.9,0.777777778,0.285714286,0.6,0.5,2.692307692,1.444444444,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,open,below,50.25925926,50.25925926,1.709772326,1.709772326,3.365794269,0.640063266,57,29,32,43,86,30,90,50,41,39,82,43,71,100,65,32,36,46,26,34,41,19,32,5,69,55,80,41,71,25,21,78,76,66,38,72,58,36,81,51,58,48,71,118,2,34,55,64,53,12,61,57,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,open,above,69.2037037,119.462963,1.846360025,3.556132351,4.786816541,0.762439714,82,38,101,127,94,29,54,102,85,45,122,26,52,121,96,98,87,66,57,15,72,64,36,22,75,48,63,66,78,35,24,84,121,59,94,89,112,67,116,101,40,58,140,152,15,51,52,80,90,20,50,37,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,open,total,119.462963,,2.080853541,,7.42376644,0.925506317,139,67,133,170,180,59,144,152,126,84,204,69,123,221,161,130,123,112,83,49,113,83,68,27,144,103,143,107,149,60,45,162,197,125,132,161,170,103,197,152,98,106,211,270,17,85,107,144,143,32,111,94,8,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,open,root.shoot,0.802237671,,0.255812063,,0.057877131,0.024435229,0.695121951,0.763157895,0.316831683,0.338582677,0.914893617,1.034482759,1.666666667,0.490196078,0.482352941,0.866666667,0.672131148,1.653846154,1.365384615,0.826446281,0.677083333,0.326530612,0.413793103,0.696969697,0.456140351,2.266666667,0.569444444,0.296875,0.888888889,0.227272727,0.92,1.145833333,1.26984127,0.621212121,0.91025641,0.714285714,0.875,0.928571429,0.628099174,1.118644068,0.404255319,0.808988764,0.517857143,0.537313433,0.698275862,0.504950495,1.45,0.827586207,0.507142857,0.77631579,0.133333333,0.666666667,1.057692308,0.8,0.588888889,0.6,1.22,1.540540541,0.142857143,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,open,below,1.26,1.26,0.354108439,0.354108439,0.267403743,0.102914986,3,3.8,1.9,1.7,0.6,0.2,0.5,1.2,1.3,0.5,0.3,1.4,1.4,0.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,open,above,2.413333333,3.673333333,0.533178702,0.887287141,0.486764504,0.172242184,5.4,5.1,1.5,1.7,2.6,1.4,6.9,0.9,2.2,1.4,0.3,1.5,2.6,1.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,open,total,3.673333333,,0.669626759,,0.655850351,0.219021084,8.4,8.9,3.4,3.4,3.2,1.6,7.4,2.1,3.5,1.9,0.6,2.9,4,1.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,open,root.shoot,0.647318158,,0.216777486,,0.106065117,0.043780696,0.555555556,0.745098039,1.266666667,1,0.230769231,0.142857143,0.072463768,1.333333333,0.590909091,0.357142857,1,0.933333333,0.538461539,0.125,0.818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,open,below,35.81081081,35.81081081,1.565975384,1.565975384,2.859519438,0.586533233,63,29,23,69,88,18,55,21,78,43,8,17,47,40,13,7,76,13,32,37,63,55,69,15,14,65,34,31,64,132,52,48,21,73,42,13,43,4,66,72,10,47,58,33,50,21,8,51,36,46,37,29,33,27,11,13,10,38,26,52,16,24,33,20,5,4,6,16,58,17,6,29,8,19,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,open,above,60.60810811,96.41891892,1.789637872,3.355613256,3.392710436,0.642732576,98,101,47,115,69,52,95,78,113,95,36,42,96,17,16,16,109,38,65,49,65,110,103,37,71,39,77,130,139,76,66,87,103,60,64,41,63,26,108,59,33,45,59,63,74,75,43,69,51,75,69,62,62,53,51,48,45,41,51,37,41,59,61,47,25,14,40,22,50,62,18,23,11,35,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,open,total,96.41891892,,1.988643306,,5.54447558,0.815874852,161,130,70,184,157,70,150,99,191,138,44,59,143,57,29,23,185,51,97,86,128,165,172,52,85,104,111,161,203,208,118,135,124,133,106,54,106,30,174,131,43,92,117,96,124,96,51,120,87,121,106,91,95,80,62,61,55,79,77,89,57,83,94,67,30,18,46,38,108,79,24,52,19,54,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,open,root.shoot,0.613528475,,0.207776634,,0.046931772,0.01991838,0.642857143,0.287128713,0.489361702,0.6,1.275362319,0.346153846,0.578947368,0.269230769,0.690265487,0.452631579,0.222222222,0.404761905,0.489583333,2.352941176,0.8125,0.4375,0.697247706,0.342105263,0.492307692,0.755102041,0.969230769,0.5,0.669902913,0.405405405,0.197183099,1.666666667,0.441558442,0.238461539,0.460431655,1.736842105,0.787878788,0.551724138,0.203883495,1.216666667,0.65625,0.317073171,0.682539683,0.153846154,0.611111111,1.220338983,0.303030303,1.044444444,0.983050848,0.523809524,0.675675676,0.28,0.186046512,0.739130435,0.705882353,0.613333333,0.536231884,0.467741936,0.532258065,0.509433962,0.215686275,0.270833333,0.222222222,0.926829268,0.509803922,1.405405405,0.390243902,0.406779661,0.540983607,0.425531915,0.2,0.285714286,0.15,0.727272727,1.16,0.274193548,0.333333333,1.260869565,0.727272727,0.542857143,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,open,below,17.16346154,17.16346154,1.259198619,1.259198619,1.939882732,0.468330007,24,1,23,26,6,34,20,4,21,61,2,4,2,2,0.5,1,1,13,9,17,21,19,29,32,21,25,43,13,20,10,16,22,12,33,11,62,6,39,3,5,24,14,10,11,12,16,9,5,28,23,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,open,above,17.96153846,35.125,1.277873571,2.53707219,1.488255059,0.395894896,36,3,51,33,10,15,13,16,14,28,6,5,2,5,2,3,2,14,20,13,18,26,22,18,29,32,16,17,16,21,12,28,21,29,19,32,10,24,5,7,22,20,19,19,20,28,19,6,30,11,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,open,total,35.125,,1.557807856,,3.09041953,0.611767853,60,4,74,59,16,49,33,20,35,89,8,9,4,7,2.5,4,3,27,29,30,39,45,51,50,50,57,59,30,36,31,28,50,33,62,30,94,16,63,8,12,46,34,29,30,32,44,28,11,58,34,63,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,open,root.shoot,0.919731821,,0.283240564,,0.079084249,0.033055353,0.666666667,0.333333333,0.450980392,0.787878788,0.6,2.266666667,1.538461538,0.25,1.5,2.178571429,0.333333333,0.8,1,0.4,0.25,0.333333333,0.5,0.928571429,0.45,1.307692308,1.166666667,0.730769231,1.318181818,1.777777778,0.724137931,0.78125,2.6875,0.764705882,1.25,0.476190476,1.333333333,0.785714286,0.571428571,1.137931034,0.578947368,1.9375,0.6,1.625,0.6,0.714285714,1.090909091,0.7,0.52631579,0.578947368,0.6,0.571428571,0.473684211,0.833333333,0.933333333,2.090909091,0.615384615,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,open,below,97.17777778,97.17777778,1.992013198,1.992013198,6.827994137,0.893650492,151,90,136,78,207,103,178,111,66,160,57,50,73,116,68,101,110,154,80,128,129,97,162,32,85,98,42,123,148,76,105,79,78,48,61,163,90,122,2,88,77,105,134,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,open,above,119.1555556,216.3333333,2.079743856,4.071757054,9.170052023,1.007323174,117,331,114,67,153,122,96,72,73,66,116,117,112,211,120,61,114,153,197,155,113,127,126,83,150,186,53,131,188,47,183,146,143,33,106,214,82,186,5,110,84,128,155,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,open,total,216.3333333,,2.337126341,,13.79635437,1.170154724,268,421,250,145,360,225,274,183,139,226,173,167,185,327,188,162,224,307,277,283,242,224,288,115,235,284,95,254,336,123,288,225,221,81,167,377,172,308,7,198,161,233,289,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,open,root.shoot,0.900738257,,0.278922316,,0.066221291,0.027847351,1.290598291,0.271903323,1.192982456,1.164179104,1.352941176,0.844262295,1.854166667,1.541666667,0.904109589,2.424242424,0.49137931,0.427350427,0.651785714,0.549763033,0.566666667,1.655737705,0.964912281,1.006535948,0.406091371,0.825806452,1.14159292,0.763779528,1.285714286,0.385542169,0.566666667,0.52688172,0.79245283,0.938931298,0.787234043,1.617021277,0.573770492,0.54109589,0.545454546,1.454545455,0.575471698,0.761682243,1.097560976,0.655913979,0.4,0.8,0.916666667,0.8203125,0.864516129,0.833333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,below,1.45,1.45,0.389166084,0.389166084,0.403166579,0.147109232,9.5,0.4,0.4,1.4,1.7,0.9,2.1,1.1,1.1,0.3,0.3,0.5,1.1,2.3,1.6,0.8,0.9,1,2.1,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,above,2.109090909,3.559090909,0.492633421,0.881799505,0.285274159,0.108995776,6.9,1.4,1.3,2.3,1.2,1,2.2,1.4,1.5,2.2,4.5,1.3,1.8,2.8,2.2,1,1.8,3,2.1,1.9,1.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,total,3.559090909,,0.658878252,,0.650463008,0.217605795,16.4,1.8,1.7,3.7,2.9,1.9,4.3,2.5,2.6,2.5,4.8,1.8,2.9,5.1,3.8,1.8,2.7,4,4.2,2.7,2.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,root.shoot,0.654880967,,0.218766761,,0.07475769,0.031310561,1.376811594,0.285714286,0.307692308,0.608695652,1.416666667,0.9,0.954545455,0.785714286,0.733333333,0.136363636,0.066666667,0.384615385,0.611111111,0.821428571,0.727272727,0.8,0.5,0.333333333,1,0.421052632,0.6,0.636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,below,16.20930233,16.20930233,1.235763264,1.235763264,2.171127907,0.50121376,10,10,29,14,22,19,9,14,43,18,24,31,40,10,21,26,13,15,3,9,3,33,19,5,21,7,80,15,3,2,26,6,3,4,17,12,9,8,2,8,17,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,above,41.46511628,57.6744186,1.628032318,2.863795582,4.823157138,0.76515851,20,22,112,34,50,97,36,52,109,62,123,85,108,21,21,62,30,40,6,21,25,74,20,14,51,22,62,37,11,10,55,26,10,10,18,37,12,16,14,30,40,16,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,total,57.6744186,,1.768448795,,6.469856926,0.873312284,30,32,141,48,72,116,45,66,152,80,147,116,148,31,42,88,43,55,9,30,28,107,39,19,72,29,142,52,14,12,81,32,13,14,35,49,21,24,16,38,57,22,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,root.shoot,0.421128165,,0.152633247,,0.03634328,0.015503636,0.5,0.454545455,0.258928571,0.411764706,0.44,0.195876289,0.25,0.269230769,0.394495413,0.290322581,0.195121951,0.364705882,0.37037037,0.476190476,1,0.419354839,0.433333333,0.375,0.5,0.428571429,0.12,0.445945946,0.95,0.357142857,0.411764706,0.318181818,1.290322581,0.405405405,0.272727273,0.2,0.472727273,0.230769231,0.3,0.4,0.944444444,0.324324324,0.75,0.5,0.142857143,0.266666667,0.425,0.375,0.177419355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,below,13.62,13.62,1.164947373,1.164947373,1.625219608,0.419165639,20,38,26,47,24,13,23,15,8,21,11,5,21,7,5,5,11,43,21,33,23,25,12,27,7,4,36,2,13,8,16,13,4,2,5,7,8,7,12,14,3,1,5,8,3,0.5,7,8,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,above,17.46,31.08,1.266231697,2.431179069,2.057382923,0.485349835,75,44,25,38,32,19,41,25,16,20,16,9,28,14,12,5,19,40,21,43,19,22,15,22,10,10,47,5,16,13,16,8,5,4,5,11,7,6,18,8,6,4,9,11,6,5,9,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,total,31.08,,1.50623436,,3.491048612,0.652347756,95,82,51,85,56,32,64,40,24,41,27,14,49,21,17,10,30,83,42,76,42,47,27,49,17,14,83,7,29,21,32,21,9,6,10,18,15,13,30,22,9,5,14,19,9,5.5,16,18,6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,root.shoot,0.778992153,,0.250174032,,0.046708585,0.019825786,0.266666667,0.863636364,1.04,1.236842105,0.75,0.684210526,0.56097561,0.6,0.5,1.05,0.6875,0.555555556,0.75,0.5,0.416666667,1,0.578947368,1.075,1,0.767441861,1.210526316,1.136363636,0.8,1.227272727,0.7,0.4,0.765957447,0.4,0.8125,0.615384615,1,1.625,0.8,0.5,1,0.636363636,1.142857143,1.166666667,0.666666667,1.75,0.5,0.25,0.555555556,0.727272727,0.5,0.1,0.777777778,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,open,below,75.33333333,75.33333333,1.882714228,1.882714228,8.077747211,0.957978085,51,75,96,64,64,27,48,85,87,49,67,37,81,54,59,73,69,42,81,43,58,73,31,79,74,58,25,48,77,69,18,59,94,39,71,32,41,26,41,52,67,9,33,17,52,64,36,18,24,71,53,64,82,104,42,83,65,71,110,71,85,96,40,77,89,85,71,60,82,55,55,59,40,55,105,109,90,79,86,,,,,,,,,,,,,,,,,,,
M.maximus,none,open,above,155,230.3333333,2.193124598,4.075838826,15.64271218,1.221224103,86,125,137,169,181,51,98,175,154,122,122,90,140,161,159,132,82,160,216,91,130,146,75,141,195,186,66,126,231,193,61,131,211,120,168,114,102,112,23,154,180,31,86,43,130,163,77,22,64,154,109,101,169,228,97,173,136,136,184,181,213,144,93,155,163,195,181,146,177,145,111,91,94,142,190,178,218,193,178,,,,,,,,,,,,,,,,,,,
M.maximus,none,open,total,198.4556962,,2.299846444,,7.818282601,0.945384013,137,200,233,233,245,78,146,260,241,171,189,127,221,215,218,205,151,202,297,134,188,219,106,220,269,244,91,174,308,262,79,190,305,159,239,146,143,138,64,206,247,40,119,60,182,227,113,40,88,225,162,165,251,332,139,256,201,207,294,252,298,240,133,232,252,280,252,206,259,200,166,150,134,197,295,287,308,272,264,,,,,,,,,,,,,,,,,,,
M.maximus,none,open,root.shoot,0.471521155,,0.16776651,,0.021139323,0.009085001,0.593023256,0.6,0.700729927,0.378698225,0.35359116,0.529411765,0.489795918,0.485714286,0.564935065,0.401639344,0.549180328,0.411111111,0.578571429,0.335403727,0.371069182,0.553030303,0.841463415,0.2625,0.375,0.472527473,0.446153846,0.5,0.413333333,0.560283688,0.37948718,0.311827957,0.378787879,0.380952381,0.333333333,0.357512953,0.295081967,0.450381679,0.44549763,0.325,0.422619048,0.280701754,0.401960784,0.232142857,1.782608696,0.337662338,0.372222222,0.290322581,0.38372093,0.395348837,0.4,0.392638037,0.467532468,0.818181818,0.375,0.461038961,0.486238532,0.633663366,0.485207101,0.456140351,0.432989691,0.479768786,0.477941177,0.522058824,0.597826087,0.392265193,0.399061033,0.666666667,0.430107527,0.496774194,0.54601227,0.435897436,0.392265193,0.410958904,0.463276836,0.379310345,0.495495496,0.648351648,0.425531915,0.387323944,0.552631579,0.612359551,0.412844037,0.409326425,0.483146067,,,,,,,,,,,,,,,,,,,