entry ,species,chemical,light,log.mass,sd,se
1,C.fasciculata,crude,open,3.705198661,0.772665996,0.130604391
2,C.fasciculata,crude,shade,2.090070463,0.359979076,0.108537775
3,C.fasciculata,none,open,3.813916714,0.745201049,0.113642095
4,C.fasciculata,none,shade,2.074757567,0.329594788,0.057375088
5,C.fasciculata,standard,open,4.438516387,0.570881542,0.066363631
6,C.fasciculata,standard,shade,2.176761276,0.275831774,0.056303925
7,M.maximus,crude,open,4.646006163,0.630233857,0.085763965
8,M.maximus,crude,shade,1.49779003,0.396777844,0.110046374
9,M.maximus,none,open,5.214156872,0.447836073,0.050385495
10,M.maximus,none,shade,1.674797401,0.666375555,0.090682227
11,M.maximus,standard,open,5.187040783,0.845482009,0.126037016
12,M.maximus,standard,shade,1.327326695,0.416474695,0.081677408
13,S.scheelei,crude,open,3.144158989,0.700508464,0.110760113
14,S.scheelei,crude,shade,1.189785075,0.333459464,0.06088109
15,S.scheelei,none,open,3.166473269,0.823921291,0.116520066
16,S.scheelei,none,shade,1.428196645,0.286670945,0.043716909
17,S.scheelei,standard,open,3.317644028,0.847123695,0.11747492
18,S.scheelei,standard,shade,1.480965321,0.21781985,0.031772291
19,X.texanum,crude,open,0,0,0
20,X.texanum,crude,shade,0,0,0
21,X.texanum,none,open,1.408631492,0.412716182,0.087991386
22,X.texanum,none,shade,0.900322186,0.297660697,0.076855661
23,X.texanum,standard,open,1.418941417,0.505269582,0.130460045
24,X.texanum,standard,shade,0.917601762,0.356106393,0.118702131