species,chemical,shade,date,week,average,SE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
X.texanum,crude,shade,11/12/21,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,11/12/21,1,3.013333333,0.212716913,5.2,2.1,4,4.4,3.5,3.3,4.2,1.5,1.4,1.6,2.3,5.2,5.2,1,3.8,1.4,2.1,2.6,3.5,4.3,4.4,1.9,3.4,5,3.1,4.6,1.7,3.7,1.5,3.7,4,4.2,1.3,3.8,6,3.5,1.9,3.2,3.9,0.5,0.3,2.1,2.1,2.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,11/12/21,1,0.9375,0.214590557,2.2,1.1,0.4,0.3,0.5,0.9,0.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,11/12/21,1,2.691891892,0.12286485,1.6,2.4,1.2,1.6,2.6,2.5,3,2.1,2.6,3.5,3.1,3.5,4.1,1.6,3.3,3.1,3.4,3.1,2.5,3.1,2.9,0.8,3,2.4,3,2.6,2.1,3.1,3,1.1,3.2,2.7,3.3,3.5,3.2,2.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,11/12/21,1,0.666666667,0.130809446,1,0.6,1.1,0.6,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,11/12/21,1,3.226829268,0.184523922,4.2,3.2,1.9,4.1,2,2.7,3.6,4.5,3,4.6,1.6,4.7,5,2.7,4.9,4.7,6,2,4,3.1,3.4,3.4,2.2,1.5,0.8,4.6,3.5,4.4,3.4,1,3.2,3.5,2.6,2.9,2.2,2.2,4,2,3.5,3.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,11/12/21,1,1.157894737,0.136864596,0.6,2,1.1,1,0.4,0.5,1.2,0.9,1.6,2.4,1.8,0.6,0.5,1.5,2.1,0.6,1.1,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,shade,11/12/21,1,2.728125,0.118817627,1.7,3.1,3.1,2.9,1.9,1.5,3.4,3.2,1.6,2.5,1.9,3,1.8,3.1,2.9,3.4,2.9,2.7,3.5,3.6,3.4,3.7,3.1,3.2,1.6,3.2,2.6,2,2.1,2.3,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,shade,11/12/21,1,0.475,0.085391256,0.4,0.3,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,shade,11/12/21,1,4.194871795,0.222425251,2.5,2.6,3.5,3.6,3.4,1.8,3.3,4.7,3.4,3.9,2,5,4,4.8,5.9,5.4,5.2,5.4,5.6,5,4.1,4,4.2,4.5,6.1,8.5,6.2,5.9,4,4.2,5.1,4.8,3.5,2.1,2.2,3.7,3.9,3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,shade,11/12/21,1,2.228,0.21177976,2.1,2,2.3,1.6,1.1,1.1,1.1,3.4,2.6,3.5,3.1,1.9,1.2,3.3,1,0.6,1.7,3.4,1.3,2.2,4.6,3.6,1.3,3.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,shade,11/12/21,1,4.512676056,0.2101923,7.1,7.1,4.2,8.5,8,2.4,3.9,1,5.5,5.2,4,7.4,3.7,2.7,6,3.4,5.6,6.3,6.6,2.1,3.2,7.1,2,4.6,6.7,5.4,6,6.4,3.5,6.1,4.2,4.5,2.9,5.1,5.6,3.8,7.1,3.6,3.9,3.4,6.8,5.7,2.8,3.9,3.1,3.4,3.6,3.2,2.5,6.1,4.1,1,1.2,6.2,5,5,5.2,2,2,2.7,5.1,4.6,4.9,3.1,3.2,2.2,3.7,4.3,6.2,4.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,open,11/12/21,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,11/12/21,1,1.193939394,0.069758701,1.4,1.2,1.6,2,1,0.5,1.4,1,1.1,1,1.7,1.4,1.1,1.3,1.2,1.7,1.3,1.2,1.4,1.3,0.3,1.3,0.5,1.6,1.3,1.4,0.3,0.9,0.7,1.3,1.6,0.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,11/12/21,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,open,11/12/21,1,1.3,0.086258195,1.2,1.4,1.1,1.7,1.1,1,2.4,1.1,0.8,0.6,0.5,2.2,2.1,2.5,1.1,1.4,0.5,1.6,1.5,1,1.1,2.1,0.9,0.7,2,0.5,2.2,2,1.7,1.9,1.5,1.5,2.2,1,0.5,2,1.2,0.4,0.4,0.4,2,1.6,1.7,0.9,0.6,0.6,1.1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,open,11/12/21,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,open,11/12/21,1,1.211428571,0.048434834,1.5,0.5,1.2,1.7,1.3,1.4,1.9,1,1.4,1.7,0.6,1.7,1.8,1.8,1,0.9,1,1.6,1.6,1.6,1,0.8,1.4,0.9,0.6,1,0.6,1,0.6,0.5,1,0.6,1.2,1.7,2,0.6,1.6,1.1,0.9,1.2,0.4,1.6,1.4,1.5,1.9,1.2,1.5,1,1.6,1.7,1.4,0.9,1,1.6,1.2,1.7,1.1,1,1.1,1.3,1.6,1.7,1.1,0.6,0.9,1,0.8,1,1.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,open,11/12/21,1,0.6875,0.0875,0.7,0.4,0.5,0.4,0.7,0.8,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,open,11/12/21,1,1.975675676,0.113264778,2.1,2.1,0.5,2.5,0.8,2.2,2.1,0.7,2.4,1.1,2.6,2.5,0.9,1.1,2.1,2.5,1.6,1.1,1.5,2.2,1.6,2.5,2.2,2.7,2.3,3.5,2.2,2.7,2.2,2.5,1.2,2.4,1.7,2.3,2.6,1.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,11/12/21,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,11/12/21,1,1.997222222,0.134724063,2.4,1.2,3.1,1,0.7,1.7,0.9,2.2,3.3,2.1,3.3,2.1,3.3,1.7,1.1,3,1.5,0.8,2.2,1.2,1.2,1.9,2.2,3.5,2.5,2.2,2.7,1.3,1.6,3,2.4,1.5,1.2,1.6,2.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,11/12/21,1,2.092,0.164612677,3.1,1.1,1.2,2.6,1.4,1.9,2.1,1.3,1.8,2.5,1.9,1.2,2.2,2,3,1.4,2,2.1,3.4,2.6,1.2,3.1,4.2,2.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,open,11/12/21,1,6.297368421,0.167740126,9.5,6.5,6,7.2,6.5,6.4,6.9,6.2,7.1,5.3,6.2,7.1,2.9,8.1,6.4,6.2,5.5,6.5,7,7.1,6.4,8.2,8.4,6.9,5.7,3,7.6,7,3.9,,,7.9,5.6,6,6.5,7,7.1,5,5.2,6.5,4.5,5.4,8.1,6,4.3,7.1,5.4,7.5,7.7,7.6,7.6,8.2,2.5,6.6,6.7,5,1.5,5.6,4,5.7,8.2,6.5,6.3,4.9,4.2,7.5,7.1,7.7,7.1,7.5,4.6,6.1,5.9,6.6,7.7,7.1,7.5,4.6,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,shade,11/19/21,2,0.65,0.05,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,11/19/21,2,3.658589306,0.189078447,4.5,4,4.2,4.7,1.9,5.7,2.1,4.2,3,5.4,5.3,6.2,2.1,5.8,5,4.2,4.9,5.7,4.1,4.4,1.2,5.3,2.9,1.7,3.5,3,4.1,4.5,2.8,3.7,1.6,1.2,4.4,4.5,1.2,2.2,3.7,2.8,2,4.7,4.4,2.9,5.2,5.9,5.4,4.6,2.2,1.6,4.2,3.2,3.7,3.1,5,4.6,2.3,4.7,7,6.1,6.4,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,11/19/21,2,2.99,0.121797758,4.2,1.9,3.7,1.2,3.2,1,1.9,1.9,2.9,3.9,4.3,1.5,3.1,3.3,2.6,2,3.7,3.5,4,3.8,3.8,1.7,2.7,3.4,3.1,3.4,2.6,3.9,3.1,2.9,2,3.4,3,3.3,2.2,3.1,2.6,4.1,3.5,1.6,4.1,3.7,2.8,3.5,3.1,4,1.9,4,3.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,11/19/21,2,3.960465116,0.197019304,2.4,2.5,3.6,3.6,6.1,6.9,1.1,4.2,3.2,2.9,3.7,1,2.6,3.5,3.7,3.7,4.1,3.5,4.2,4.4,4.6,2.9,3.7,4.5,4.6,5.3,3.9,4.3,3.9,4.5,5.1,5.1,4.6,4,3.4,4.2,2.5,3.6,5.5,4.1,3,8.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,11/19/21,2,0.576923077,0.056787781,0.8,0.4,0.5,0.9,0.7,0.4,0.3,0.4,0.5,0.7,0.9,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,11/19/21,2,4.912,0.207544242,3.5,6.1,2.9,4.5,2.2,2.9,5.5,6.9,3,4.4,5.6,5.6,4,3,4.6,4.2,3.9,7.1,6.9,5.2,4.4,4.6,7.1,4.3,6.8,4.4,6.3,5.4,1.9,3.1,6.2,3.1,2.3,6.2,7.4,4.6,5.1,7.5,5.4,6.2,5.1,5.8,3.9,3.7,4.1,5.2,6.7,6,4.6,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,11/19/21,2,3.341071429,0.117088636,4.4,4.2,2.5,3.4,1.7,4,4.1,2.9,3,2.9,3.6,4.5,2.5,3.6,3.4,3.4,3.1,4.2,3.3,4,4.9,4.2,3.7,4.5,4,4.6,2,4.7,2.3,4.1,2.5,4.3,4,1.5,2.4,2,3.3,2.9,4.2,4.5,3.1,3,2.9,1.6,4,3,4.1,3.2,1.9,3,2,4.2,3.7,3.5,2.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,shade,11/19/21,2,4.673529412,0.287105812,6.1,8.1,3.2,3.4,4.1,3.6,1.7,4.7,4.7,3.6,3.7,5.2,3.5,4.8,5.1,1.5,4.5,4.5,4.7,5,4.5,4.6,3.5,5.2,4.1,4.2,3.8,4.4,6.6,3.5,7.8,9.5,3.9,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,shade,11/19/21,2,0.385714286,0.043799171,0.5,0.5,0.3,0.5,0.2,0.6,0.5,0.4,0.3,0.4,0.9,0.3,0.2,0.1,0.1,0.3,0.5,0.2,0.2,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,shade,11/19/21,2,5.187179487,0.280547457,3.1,1.1,5,2.9,7.5,5.5,4.9,4.1,6,7.1,11,5.6,5.4,4.6,3.7,4.6,5,6.5,6.1,6.6,4.8,4.3,6.9,6.5,8.1,4.7,4.6,5.9,5.8,5.2,4.4,3.6,5.9,3.9,4.8,1.5,5.6,5.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,shade,11/19/21,2,3.186,0.166402757,1.5,1.6,2.2,1.6,4.1,5,3.5,1.2,5,5.4,3.5,3.1,1.6,4.4,2.3,2.1,2.4,2.2,3.1,2.3,2.7,4,4,1.3,3.4,4,2.5,1.2,3,4.1,1.6,3,6.1,5.1,4,1.9,3.7,3.2,3.8,4.4,3.5,4,3.2,4,3.7,2.6,3.5,2.3,3.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,shade,11/19/21,2,7.127027027,0.30074754,10.5,12.2,13.2,7.4,2.9,7.6,10,8.5,7.1,1.7,7.6,7.9,5,6.2,7.4,8,4,3.1,5.6,3.4,3,8.1,7.6,8.4,6.1,2.6,4,8.2,4.1,2.6,6.3,8.5,7.7,7.1,6.1,8.6,5.1,8.6,7.2,4.1,6.1,7.1,7.3,5.2,7.4,5.9,6,6,6,8.8,7.1,6.2,6.9,8.2,5.1,9.5,9.2,8.1,9.2,3.5,7.1,8.5,8.4,8.1,8.6,8.5,2.9,9.7,5.4,10,14.1,8.7,12.3,13,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,open,11/19/21,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,11/19/21,2,1.7,0.123397165,1.5,3.6,0.8,1.5,1,2.4,2.8,2.8,2,2.3,1.2,1.1,3.2,1.3,2.4,2.5,0.9,1.3,3.2,1.4,0.9,3,1,1.2,0.5,1.2,0.2,0.7,2.3,0.7,0.6,0.8,2,0.7,2.2,1.1,1.1,2.4,0.9,1,2.8,2.5,1.2,2.4,1.4,1.5,2.9,1.1,1.2,0.7,0.8,2.3,4.5,0.7,0.9,2.2,2.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,11/19/21,2,1.710638298,0.092415126,1.4,1.5,1.2,2.6,2.5,2.1,1.1,1.9,0.6,1.5,2,1.7,2.5,1.4,2.5,0.8,1.1,1.3,1.4,1.1,0.5,2.1,1.2,0.9,1.7,2.1,1.1,2.1,1.4,1.9,2.2,0.8,2.2,2.3,2.3,2.5,1.6,2.2,3.1,1.1,3.2,1.9,2,1.8,1.7,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,open,11/19/21,2,5.421818182,0.26895096,4.1,7.1,4.5,6.2,4.5,4.4,6.3,6.8,6.5,6.4,5.6,6,6.5,5.9,2.9,7.8,5,1.9,5.9,2.1,5.8,7.6,4.3,6,7.7,1.2,8.1,6,4.7,3,8,6.4,2.9,5.4,3.5,7.2,7,6.1,1.7,6.2,4.9,1,8.2,7.2,9.2,5.3,5.9,1.7,"9,5",6,1.6,5.7,6.8,7.4,5,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,open,11/19/21,2,0.24375,0.028822373,0.3,0.2,0.3,0.1,0.1,0.3,0.5,0.2,0.1,0.3,0.1,0.3,0.4,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,open,11/19/21,2,3.067088608,0.140843215,2.2,3.7,3.6,2,2.3,2.5,1.4,4.6,4,4.2,4.1,1.5,1.4,2.8,4.2,3.2,1,0.8,5.1,3.7,4.9,4.1,1.6,3.4,3.8,5,2.8,2.3,3.4,1.9,4,3.2,3.9,4.5,1.5,2.1,2.7,3.6,1.8,4.7,2.8,4.7,4.2,2.9,5.3,3.7,1.4,1.1,2.9,4.3,3.9,3.2,1.9,2.7,2.2,2.4,3.1,2,3.4,4.3,4.7,4.5,2.8,4.1,1,2.4,2.1,2.5,4.2,1,0.7,2.8,3.9,4.6,5.9,1.4,2.5,4,1.3,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,open,11/19/21,2,2.054545455,0.102914373,1.9,1.5,3.1,3.2,1.7,0.6,2.5,2.6,3.6,1.8,1.8,1.4,3.4,2.9,0.5,2.7,0.9,2.5,1.6,2.7,2.2,1.7,1.11.5,1.2,2.5,2.2,2.2,2.3,3.4,2.7,2.1,1.9,2.5,0.6,2.7,2.5,1.8,0.6,0.9,2.1,2.8,1.5,1.3,1.1,2.1,2.8,3.2,1.6,1.8,2.5,2.2,2.1,2,1.9,2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,open,11/19/21,2,7.579069767,0.290311593,7.5,5.4,3.1,8.2,9,8.5,10.3,7.8,9.6,8.9,9,8,5.7,10.9,8.2,8.1,8.2,9.1,5.4,9.5,8.4,6.5,1.9,7.2,7.3,7.6,8.7,9.9,6.6,3.2,5.6,8.8,7,7.8,9.2,6.9,8.9,7.4,5.8,6.3,9.2,6.4,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,11/19/21,2,0.41,0.046396461,0.3,0.2,0.7,0.7,0.3,0.4,0.4,0.3,0.5,0.6,0.4,1,0.5,0.4,0.3,0.2,0.2,0.3,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,11/19/21,2,3.734042553,0.270475591,4.2,4.3,1.6,2.8,3.3,4.2,1,6.2,5.6,4.7,3.2,4.3,4.6,3.7,6.5,6.9,1.1,1.2,6.1,1.7,1.7,2.2,1.5,4,1.7,1.5,2.9,4.4,3.9,3.8,7,4.5,5.9,1.4,1.1,2.3,6,4.4,7,4.1,3.4,5.2,0.8,6.5,3.9,5.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,11/19/21,2,3.335416667,0.285035919,7.1,5.8,3.7,1.3,2.6,2.2,1.5,5.9,2.5,1.9,6.7,6.1,1.3,1.5,2,3.6,1.7,1.9,1.5,0.5,1.6,2.1,4.5,2.5,1,3.7,5.2,3,1.2,0.9,2.5,3.4,4.6,4.7,7.1,3.2,2.1,6,0.8,4.2,1.9,4.1,4.4,5,8.9,4,2.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
