species,chemical,shade,date,week,average,SE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
M.maximus,none,open,11/19/21,2,15.28,0.403769423,15.5,15.7,15,16.2,9.7,15.3,2.1,10.3,10.5,16.1,14.3,14.1,17.7,13.9,13.5,16.9,18.6,18.2,18.7,16.2,17,18.3,18.9,18.6,17.5,10.5,19.7,19.3,11.2,18.6,16.3,18.2,16.2,16.5,6.1,19.1,17,15,12.1,18.2,14.7,13.9,15.5,16.3,14.2,17.9,21,20.5,14.9,14.1,18.6,16.8,18.4,15.9,18.7,16,12.6,8.4,12.9,19.1,17.2,16,15.1,17.6,9.5,11.9,17,21.4,13.2,17.8,16.7,17,16.2,6.2,10.1,14.6,15.1,16.9,10.9,8.8,,,,,,,,,,,,,,,,,,
X.texanum,crude,shade,11/26/21,3,0.3,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,11/26/21,3,5.871428571,0.545554318,7.1,8.2,5.9,6,6,6.7,3.1,8,2.7,6.4,4.2,2.3,8.5,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,11/26/21,3,3.479545455,0.181390552,4.5,5.2,2,2.6,1.3,5.4,1.5,0.9,1.7,3.2,4.8,2.1,4.1,3.8,2.5,2.1,4.5,4.1,4.5,4.3,2.1,3.7,4,4.7,4.3,3.5,3.7,2.9,3.6,2.2,3.2,4.8,4.2,1.9,4.7,4,5,3.9,4.6,2.9,2,4.2,5.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,11/26/21,3,5.966666667,0.462337581,8.3,6.4,4.3,6,5.5,5.7,4.9,5.1,6.2,7.2,3,7.3,2.6,1.5,6.7,2,4,6.9,8.6,8.2,5.7,7.7,9.9,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,11/26/21,3,0.7125,0.0875,0.7,0.5,1,0.6,0.3,0.7,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,11/26/21,3,6.383783784,0.363882004,9.8,9.2,6.9,8.7,6.7,5.4,3.9,7.3,9.2,7.1,9.2,4.4,9.9,9.6,7.5,2,5.6,3.8,7.1,6.2,5.5,4.7,9,5.2,9.4,5.8,4.1,6,4,6.1,6.3,2.1,4.5,6.1,9.2,3.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,11/26/21,3,4.372881356,0.175881025,2.5,2.4,7.1,7.3,4.1,7.5,3,4.9,4.8,4.8,3.7,5,4.1,4.7,4.5,5.9,4.8,3.6,3.7,4.9,3,4.4,4.9,3.8,5.7,3.9,5.6,5.3,5.4,3,5.4,1.2,3.6,4.5,3.5,5.5,4.9,2.5,3.6,3.1,4.2,3.5,5.2,6,3.7,4.1,0.9,4,5.7,6.1,3.8,2.6,4.5,3.4,7.2,4.7,4.1,3.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,shade,11/26/21,3,6.271428571,0.500683584,9.6,12.5,3.8,5.4,7.9,6.9,1.7,6.6,7,4.1,4,5.8,5.3,4.8,4.9,4.5,4.8,4.3,5.1,4.9,3.5,6.2,8.6,3.6,9.7,11.1,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,open,11/26/21,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,11/26/21,3,4.063636364,0.32168115,1.9,3.9,4.3,6.2,1.1,6.8,4.2,5.1,4,2.8,7,8.2,2.5,9.1,4.2,6.5,3.2,2.6,2.9,2.5,1.3,3.4,5.3,1.1,6,1.6,4.2,1.9,2.6,1.4,5.6,5,6.4,1.7,5.1,6.9,2.6,3.1,1.4,2,5.7,7.6,2.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,11/26/21,3,3.380769231,0.224499417,1.6,3.1,3.9,2,0.5,2.9,6,4.6,3.1,1.4,4.3,1.4,0.7,2.9,5,3.8,5.6,3.7,6.3,1.5,1.5,3.2,3.3,3.8,2.1,1.4,4.7,1.1,2.1,3.6,0.9,1.2,4.7,4.1,2.6,1.9,4.5,4.2,3.6,5.2,4.8,4.1,6,4.3,4.3,5,2.2,7.1,1.2,4.4,4.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,open,11/26/21,3,12.5,0.665282084,1.9,11.5,9.2,9,17.1,11.9,10.1,13,16.3,18.9,11,13.4,13,11.7,11.1,11.2,21.1,14.4,7.1,9.6,16,16.8,10.7,12.6,22,3.9,20.9,9.1,12,7.5,19.8,14.3,3.1,19.9,15.6,8.9,17.1,16.3,13.9,7,13.7,14,2.5,18.5,15.8,20,10.5,11.1,2.5,19.3,8.1,6.9,5.4,12.3,16.1,12.1,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,open,11/26/21,3,0.416,0.062631196,0.9,0.3,0.2,0.3,0.5,0.3,0.2,0.1,0.2,0.5,1,0.2,0.2,0.6,0.4,0.4,0.3,0.3,0.3,0.2,0.6,1.5,0.2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,open,11/26/21,3,6.913580247,0.299040405,6.1,8.4,7.3,6,6.6,4.8,3.9,1.5,9.1,8.5,10.5,9.2,2.5,4.5,7.4,9.2,7.9,1.6,1.9,2.9,10.7,9.5,10.2,10.4,3.9,7.3,9.6,11,7.6,4.2,7,5,8.6,8.8,9.9,1.5,8.9,1.9,5.5,7.4,8.2,2.6,9.9,5.6,11.2,10.3,6.8,11.3,8.1,4.5,2.6,7.9,9.9,8.2,7.8,5,8,6.4,6.3,7.1,5.3,8.8,9.1,8.4,9,8.4,9,1.9,8.3,7,4.9,9.5,2,4.1,7.8,8.1,9.1,4.9,7,7.6,3.4,,,,,,,,,,,,,,,,,
S.scheelei,standard,open,11/26/21,3,4.401724138,0.215835458,5.2,3.3,6,6.2,6.9,2,4.5,7.6,8,3.9,5,2.2,8.9,3.6,4.6,2.8,4.7,2.5,4.1,4.9,3.3,5.6,3.7,2.2,3.4,1.9,3.9,3.8,4.7,4.9,5.7,5.1,4.2,4.8,4.2,1.6,6.7,6,5.2,5.1,2.1,2,4.8,5,2.4,4,3,3.6,3.2,4.5,8,5.3,3.3,3.9,6.2,2.3,4.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,open,11/26/21,3,16.33111111,0.746729044,17.5,9.5,2.1,10.3,12.6,15.1,14,19,4.6,22.2,15.1,17.6,24.1,15.6,12.5,20.3,23.1,17,18.4,22,16.6,18.9,13.9,18.2,12.2,22.2,21.6,13.4,3.2,11.9,17.6,16.5,13,20.2,21,21,22.8,17.3,17.1,16.1,21.4,18,15.5,16.2,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,11/26/21,3,0.436363636,0.069800413,0.3,0.4,0.2,1.2,0.5,0.6,0.2,0.3,0.3,0.1,0.3,0.4,0.1,1.5,0.2,0.4,0.5,0.5,0.4,0.4,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,11/26/21,3,6.184444444,0.460258552,7.4,6.8,3.1,5.7,1.2,7,8,3.3,10.4,10.2,8.7,6.4,5.3,3.2,6.4,11,12.4,3.5,1.2,10.7,3.9,1,4,4.3,4.1,8.6,0.9,5.1,4.7,6,7.4,7.9,6.4,12.1,7.9,11.2,4.9,2.8,1.7,10,6.4,4.5,7.1,5.2,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,11/26/21,3,5.558490566,0.415286933,9.5,0.7,10.6,6.5,3.2,6.1,6,2.8,8.1,3.6,3.2,8.7,9.1,2.9,2.1,3.3,4,5.8,5.6,4.6,3.8,0.5,3.2,5,8.1,1,5.5,2.2,8.7,7.1,7.5,3.5,1.4,4.1,1.3,6.2,6.9,8.6,9.9,4.9,4,10.3,3,8.1,4,4.8,6.7,4.6,8.5,16,8.3,5.6,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,open,11/26/21,3,28.77125,0.603466237,21.2,28.6,34.9,33,29.4,23.6,14,24.5,32.2,31.7,22.9,23.8,23,34,24.3,22.1,24.6,22.9,21.5,31.9,34,21.2,21.9,28.1,34.6,34.2,31.5,36.7,39,33.7,29.1,29.4,30.2,32.1,27.6,28.8,31.2,30.7,25.6,24.9,27.2,25.1,32.4,32.5,33.7,18,24,34,32,32.3,33.6,27.1,34.7,35,32.5,27.6,29.7,29.4,32.3,29.9,33.7,38.5,28.1,33.3,27.9,29.1,33.1,32.7,26.5,22,23.1,8.2,32.4,25,31.7,34.4,23.9,27.9,29.9,28.7,,,,,,,,,,,,,,,,,,
X.texanum,crude,shade,12/3/21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,12/3/21,4,5.161538462,0.603784906,7.5,9.6,8.5,5.4,4.9,3.6,2.9,2.6,4,4.4,6,3.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,12/3/21,4,4.184210526,0.265796164,7.4,8,7.3,5.5,4.6,4.5,4.8,3,3.2,2.9,5.1,6.1,6.1,5,3.2,5.1,4.8,2.9,3.8,3,3.1,5.1,3.9,2.9,4.9,4.8,5,2.1,4.3,2.5,1.9,2.5,4.1,3.1,2.4,6.7,2.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,12/3/21,4,7.111764706,0.654109315,6,14.1,6.6,4.5,6.6,7,8,10.5,11,3,7,5,5.1,7.5,8,5.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,12/3/21,4,1.17,0.136666667,0.4,0.8,0.9,1,1.3,1.4,1.5,1.9,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,12/3/21,4,8.288888889,0.420531929,11.8,7,6,6.7,5.9,9,6.6,9.4,3.8,7.1,11.6,11.5,12.3,8.6,8.6,8.1,8.6,7.2,9.5,8.5,7.5,6.4,11.5,8,8,4.7,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,12/3/21,4,6.5,0.247291088,4.4,4.9,5.5,6.5,6.7,7.9,6.7,9.1,8,10.3,5.4,6.8,7.9,8.4,5.8,6.8,7.5,6,6.1,6.6,7.6,8.4,5.3,6,4.9,7.1,7.5,8.9,7.3,6,8.2,9.1,4.3,3.6,6.6,8,6.5,7.9,7.1,5,6.9,5.8,9.4,7.6,9.5,2.9,3.3,1.8,6.5,5.7,7.6,3.2,8,4.6,2,7.7,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,shade,12/3/21,4,8.885714286,1.772345726,2.7,17.5,5,4.4,10.5,9.5,5.4,6.7,13.9,6.5,6,7.6,5.4,5.6,7.2,7.2,10.4,8.1,7,7.1,5,8.5,6.1,6.8,5,6.4,7.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,shade,12/3/21,4,0.653333333,0.091478161,0.5,1.7,1.1,0.6,0.8,0.7,0.6,0.7,0.4,0.4,0.3,0.5,0.4,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,shade,12/3/21,4,8.847058824,0.4375885,12.4,10.9,4.9,4.7,7.8,10.2,7.5,11.7,12.2,13.1,8.9,10.6,10.6,10.6,11.5,5.4,10.9,3.9,6.3,7.7,11.3,8.2,9.9,7.3,7.7,6.1,9.3,9.8,12.8,5,6.1,8.2,8.7,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,shade,12/3/21,4,5.534615385,0.269571536,3.1,9.4,7.9,8.5,7.9,3.2,4.7,7.4,8,7.5,2.6,2.2,4,5,3.2,2.7,3.8,2.2,5.6,4.3,4.1,8.5,4.5,3.7,4.8,4.3,3.1,4.1,4.1,3.8,6.7,4.6,5.7,4.6,4.7,6.2,4.4,5.7,7.3,5.7,8.6,8.4,6.5,6.9,8.1,6.6,7.7,8,4.6,6.4,6.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,shade,12/3/21,4,9.410526316,0.626556629,6.1,9.1,4.3,6.2,28.1,15.7,14.2,20.6,21.4,6.6,18.1,8.5,8.1,7.2,7.9,21.6,13,4.6,7.9,11.7,7.9,12.2,7,6.7,6.9,6.1,14.9,11.9,5.2,6.1,6.5,6.1,7.5,8.9,9.3,10.6,6.4,3.9,9,5.9,7.5,9.1,9.8,9.6,7.9,7.1,9.5,8.4,8.2,9.3,8.7,6.9,5.5,7.2,6,8.2,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,open,12/3/21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,open,12/3/21,4,9.431428571,0.578607012,7.9,14.3,8.9,8.3,15.4,11.6,8.9,8.2,12.9,13.5,14,10.7,15.6,5.1,10.4,8,9,13.1,11.2,11,8.8,6.5,4.9,3.5,2.8,7.9,4.1,11.1,7.6,11.5,13,5.1,10.4,5.4,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,open,12/3/21,4,7.353191489,0.391347811,2.9,2,1.8,2.5,3.2,5,6.7,4.6,6.5,7.6,5.6,7.5,4.5,6.4,7.9,9.5,7,9.1,8.2,9.6,4.5,10.2,8,7.5,8.9,8.6,9.5,9.8,15.1,9,5.5,8.6,7,9.1,11,8.3,3,8.6,9,8.2,11.1,9.4,10.5,6.9,6.5,6.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,open,12/3/21,4,24.45454545,1.073622579,17.5,6.4,15,10.1,31.7,31,34.5,31.2,28.9,23.5,24.9,3.9,39.1,7.4,27.6,26.2,19.7,20.2,20.2,21.1,25.2,25.1,24.6,19.4,22.1,21.3,23.8,26.6,29.6,35.5,29.2,24.1,14.5,27.4,33,23.3,36.9,33.3,33.6,36.2,25.4,34.6,28.7,29.5,27.7,25.6,20,15.2,29,23.5,28,16,29.4,12.5,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,open,12/3/21,4,1.111111111,0.158278968,1.7,0.6,1.2,0.5,0.5,1.3,0.5,0.4,0.7,0.3,0.7,0.5,1.1,4,0.6,1,0.6,0.9,0.7,0.5,0.6,2,1.5,2.6,1.4,1.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,open,12/3/21,4,13.4325,0.435191559,21.6,19.6,7.5,12.9,18,9.5,20.6,13.5,20.4,18.1,16.5,16.7,18.6,18.4,11,13.1,15.1,13.2,16.9,15.7,18.9,14.8,10.2,17,17.7,17.1,15.8,18.2,17.7,16.4,13.5,14.9,18.4,10.9,11.3,16.1,9,12.9,11.9,15.7,10.8,9.5,7.5,10.2,14.5,7.6,6.2,11.9,13.3,10.9,12.2,14,15.2,17.5,15.1,14.2,14.4,16.1,11.7,13.4,12.9,10.1,8.2,14.1,11.3,10.2,16.4,13.4,10.6,11.7,5.3,13.2,9.1,8.1,14.9,11.6,15.4,6.1,4.2,6.3,,,,,,,,,,,,,,,,,,
S.scheelei,standard,open,12/3/21,4,8.583050847,0.359842427,4.6,5.6,17.1,13.7,12.5,15.7,12.2,11.5,9,9.8,5.5,3,9.9,9.5,9.9,8.7,6.1,9.3,7.8,6.9,9.3,6,8.9,9.1,8.2,3,7.2,8.1,9.4,7.4,10.2,11,13.2,8.5,11,11.6,9.4,6.9,8,9,9.2,5.5,7.4,7.2,11.1,6.2,10.1,5.9,4.5,10.4,8.5,6.1,5.7,9.2,8.5,6.5,7.1,6.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,open,12/3/21,4,29.31956522,1.022106471,11.1,10.1,31.3,24.7,37.1,30.1,29.7,33,34.5,34.5,33.7,16.2,25,36.1,34.1,16.6,35.6,26.4,30.6,33.1,36.5,34.4,29.3,37.5,36.8,37.1,35,28.7,25.5,21.6,23.6,23.1,28.1,25.7,36.6,18.7,30,28.2,28.1,32.6,38.7,22,33.1,31,31.5,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,12/3/21,4,0.662068966,0.066476003,1.1,0.9,1,0.5,0.4,0.6,0.8,2,0.4,0.3,0.8,0.9,0.5,0.5,0.3,0.3,0.4,0.5,0.4,0.5,0.4,0.6,1.2,0.5,0.7,0.9,0.4,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,12/3/21,4,9.127659574,0.530064682,10.1,4,6.9,5,7.8,6.1,2,13.9,8.1,11.4,9.2,2.9,6.8,6,5.1,9.1,8.8,13.5,15.7,10.3,7.4,16.4,14.4,2.8,7.3,7.9,13.6,9.6,3.8,11.4,11.1,9.1,15.1,12.2,15.5,10.6,10.5,7.7,11.3,8.4,12.1,4.5,9.6,11.9,8.7,6.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,12/3/21,4,7.563461538,0.443870853,5.4,2.5,12.7,11,17.9,11,12.4,11,8.1,5.1,9.5,5.6,2.4,2.6,1.4,4.9,7.1,6.6,5.8,7.4,5.5,7.7,6.3,5.4,3.1,4.5,7,6.6,5.4,10.9,9.4,10.9,9.1,11,10.8,4.2,9.5,10.6,10.9,9.6,8.3,8.6,7.5,7.5,8.3,10.6,8.9,3.8,4.5,5.2,6,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,open,12/3/21,4,31.705,0.477963441,34.9,39.5,35.2,34.6,34.1,34.9,36.1,32.9,34.3,28.9,32.1,27.2,35.5,35.1,34.3,34.2,32.2,37.6,39.2,30.5,35.5,34,30.1,32.5,33.9,23,37.2,32.6,28.1,33.4,37.1,34,36.7,34.8,30.3,35.1,36.3,30.5,26.9,36.8,38.6,37.9,33.9,28.9,30.4,36.3,34.9,23.7,34.5,23.9,29.8,28.8,29.4,27.1,24.9,31.9,34,30.5,31.1,32,36.7,33.6,27.2,26.9,23.4,30.4,28.6,32.5,30.5,28.9,33.1,26.4,32.9,30.6,28.1,24.1,27.2,22.5,25,23.2,,,,,,,,,,,,,,,,,,